Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2003,01,07,10,00,00,92.042
2003,01,07,11,00,00,94.342
2003,01,07,12,00,00,95.83533
2003,01,07,13,00,00,95.241
2003,01,07,14,00,00,94.43983
2003,01,07,15,00,00,94.6355
2003,01,07,16,00,00,93.724
2003,01,07,17,00,00,93.795
2003,01,07,18,00,00,93.89519
2003,01,07,19,00,00,93.45767
2003,01,07,20,00,00,93.72683
2003,01,07,21,00,00,94.00367
2003,01,07,22,00,00,93.777
2003,01,07,23,00,00,93.46786
2003,01,08,00,00,00,95.45917
2003,01,08,01,00,00,94.70687
2003,01,08,02,00,00,95.654
2003,01,08,03,00,00,95.13817
2003,01,08,04,00,00,95.15183
2003,01,08,05,00,00,94.5425
2003,01,08,06,00,00,94.11283
2003,01,08,07,00,00,95.311
2003,01,08,08,00,00,96.80519
2003,01,08,09,00,00,95.23571
2003,01,08,10,00,00,94.81036
2003,01,08,11,00,00,95.67233
2003,01,08,12,00,00,97.37317
2003,01,08,13,00,00,97.47917
2003,01,08,14,00,00,97.4695
2003,01,08,15,00,00,96.40233
2003,01,08,16,00,00,96.1625
2003,01,08,17,00,00,96.516
2003,01,08,18,00,00,NaN
2003,01,08,19,00,00,NaN
2003,01,08,20,00,00,NaN
2003,01,08,21,00,00,NaN
2003,01,08,22,00,00,NaN
2003,01,08,23,00,00,97.53
2003,01,09,00,00,00,96.89146
2003,01,09,01,00,00,96.88383
2003,01,09,02,00,00,96.32815
2003,01,09,03,00,00,95.922
2003,01,09,04,00,00,95.38467
2003,01,09,05,00,00,94.67521
2003,01,09,06,00,00,94.4705
2003,01,09,07,00,00,95.0265
2003,01,09,08,00,00,95.3625
2003,01,09,09,00,00,95.605
2003,01,09,10,00,00,95.90267
2003,01,09,11,00,00,96.72667
2003,01,09,12,00,00,96.30167
2003,01,09,13,00,00,97.40283
2003,01,09,14,00,00,94.42796
2003,01,09,15,00,00,94.15783
2003,01,09,16,00,00,94.731
2003,01,09,17,00,00,94.97854
2003,01,09,18,00,00,95.3205
2003,01,09,19,00,00,95.5695
2003,01,09,20,00,00,95.31771
2003,01,09,21,00,00,96.07233
2003,01,09,22,00,00,96.408
2003,01,09,23,00,00,96.83714
2003,01,10,00,00,00,96.28024
2003,01,10,01,00,00,96.58976
2003,01,10,02,00,00,97.21283
2003,01,10,03,00,00,97.43817
2003,01,10,04,00,00,98.07317
2003,01,10,05,00,00,98.919
2003,01,10,06,00,00,99.84283
2003,01,10,07,00,00,100.37467
2003,01,10,08,00,00,100.29829
2003,01,10,09,00,00,99.85617
2003,01,10,10,00,00,98.18383
2003,01,10,11,00,00,98.27033
2003,01,10,12,00,00,98.65233
2003,01,10,13,00,00,98.94167
2003,01,10,14,00,00,98.25
2003,01,10,15,00,00,96.83639
2003,01,10,16,00,00,97.03083
2003,01,10,17,00,00,97.7575
2003,01,10,18,00,00,98.15967
2003,01,10,19,00,00,97.7955
