Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2003,01,01,00,00,00,0.11767
2003,01,01,01,00,00,0.11767
2003,01,01,02,00,00,0.04983
2003,01,01,03,00,00,0.05017
2003,01,01,04,00,00,0.14525
2003,01,01,05,00,00,0.1175
2003,01,01,06,00,00,0.185
2003,01,01,07,00,00,-0.15317
2003,01,01,08,00,00,0.04933
2003,01,01,09,00,00,6.87033
2003,01,01,10,00,00,49.255
2003,01,01,11,00,00,109.67417
2003,01,01,12,00,00,132.26783
2003,01,01,13,00,00,79.21183
2003,01,01,14,00,00,27.8775
2003,01,01,15,00,00,4.64167
2003,01,01,16,00,00,0.21917
2003,01,01,17,00,00,-0.0515
2003,01,01,18,00,00,0.01633
2003,01,01,19,00,00,0.28617
2003,01,01,20,00,00,0.05017
2003,01,01,21,00,00,-0.01767
2003,01,01,22,00,00,-0.18683
2003,01,01,23,00,00,0.1515
2003,01,02,00,00,00,-0.07483
2003,01,02,01,00,00,0.09383
2003,01,02,02,00,00,-0.07483
2003,01,02,03,00,00,-0.17583
2003,01,02,04,00,00,-0.04117
2003,01,02,05,00,00,0.1275
2003,01,02,06,00,00,-0.07483
2003,01,02,07,00,00,-0.14233
2003,01,02,08,00,00,0.094
2003,01,02,09,00,00,8.60525
2003,01,02,10,00,00,52.44133
2003,01,02,11,00,00,100.29633
2003,01,02,12,00,00,115.4265
2003,01,02,13,00,00,87.7675
2003,01,02,14,00,00,39.47183
2003,01,02,15,00,00,4.248
2003,01,02,16,00,00,0.16117
2003,01,02,17,00,00,-0.1085
2003,01,02,18,00,00,-0.10833
2003,01,02,19,00,00,-0.10867
2003,01,02,20,00,00,0.12717
2003,01,02,21,00,00,-0.27683
2003,01,02,22,00,00,-0.1085
2003,01,02,23,00,00,-0.1085
2003,01,03,00,00,00,-0.169
2003,01,03,01,00,00,-0.10133
2003,01,03,02,00,00,-0.169
2003,01,03,03,00,00,-0.169
2003,01,03,04,00,00,-0.03367
2003,01,03,05,00,00,0.16933
2003,01,03,06,00,00,-0.169
2003,01,03,07,00,00,0.034
2003,01,03,08,00,00,-0.10133
2003,01,03,09,00,00,7.65254
2003,01,03,10,00,00,41.27083
2003,01,03,11,00,00,84.1275
2003,01,03,12,00,00,111.754
2003,01,03,13,00,00,87.30317
2003,01,03,14,00,00,36.542
2003,01,03,15,00,00,5.80917
2003,01,03,16,00,00,0.10167
2003,01,03,17,00,00,-0.0761
2003,01,03,18,00,00,0.1355
2003,01,03,19,00,00,-0.10133
2003,01,03,20,00,00,-0.03367
2003,01,03,21,00,00,-0.20283
2003,01,03,22,00,00,-0.03367
2003,01,03,23,00,00,0.00017
2003,01,04,00,00,00,-0.0385
2003,01,04,01,00,00,-0.106
2003,01,04,02,00,00,0.0965
2003,01,04,03,00,00,-0.0725
2003,01,04,04,00,00,0.0285
2003,01,04,05,00,00,-0.03917
2003,01,04,06,00,00,-0.13983
2003,01,04,07,00,00,0.0965
2003,01,04,08,00,00,-0.03867
2003,01,04,09,00,00,7.35383
2003,01,04,10,00,00,46.969
2003,01,04,11,00,00,94.48733
2003,01,04,12,00,00,115.66217
2003,01,04,13,00,00,90.97467
2003,01,04,14,00,00,41.39717
2003,01,04,15,00,00,5.86817
2003,01,04,16,00,00,0.0239
2003,01,04,17,00,00,-0.14033
2003,01,04,18,00,00,0.02883
2003,01,04,19,00,00,-0.174
2003,01,04,20,00,00,-0.07267
2003,01,04,21,00,00,-0.17417
2003,01,04,22,00,00,-0.14067
2003,01,04,23,00,00,-0.14033
2003,01,05,00,00,00,-0.29683
2003,01,05,01,00,00,-0.2295
2003,01,05,02,00,00,-0.12817
2003,01,05,03,00,00,-0.061
2003,01,05,04,00,00,-0.09467
2003,01,05,05,00,00,0.10733
2003,01,05,06,00,00,-0.1285
2003,01,05,07,00,00,-0.06117
2003,01,05,08,00,00,0.10767
2003,01,05,09,00,00,8.45167
2003,01,05,10,00,00,56.47833
2003,01,05,11,00,00,118.688
2003,01,05,12,00,00,138.14133
2003,01,05,13,00,00,105.21183
2003,01,05,14,00,00,50.43233
2003,01,05,15,00,00,7.77633
2003,01,05,16,00,00,0.1075
2003,01,05,17,00,00,-0.09483
2003,01,05,18,00,00,-0.26333
2003,01,05,19,00,00,-0.12833
2003,01,05,20,00,00,-0.12817
2003,01,05,21,00,00,-0.02733
2003,01,05,22,00,00,0.2085
2003,01,05,23,00,00,-0.09467
2003,01,06,00,00,00,0.10467
2003,01,06,01,00,00,0.07117
2003,01,06,02,00,00,0.0035
2003,01,06,03,00,00,0.10467
2003,01,06,04,00,00,0.1385
2003,01,06,05,00,00,0.03783
2003,01,06,06,00,00,0.13441
2003,01,06,07,00,00,-0.03
2003,01,06,08,00,00,-0.06417
2003,01,06,09,00,00,8.9185
2003,01,06,10,00,00,54.07433
2003,01,06,11,00,00,121.215
2003,01,06,12,00,00,144.28367
2003,01,06,13,00,00,109.83333
2003,01,06,14,00,00,51.7435
2003,01,06,15,00,00,8.547
2003,01,06,16,00,00,0.00367
2003,01,06,17,00,00,0.10517
2003,01,06,18,00,00,0.07133
2003,01,06,19,00,00,0.03717
2003,01,06,20,00,00,0.274
2003,01,06,21,00,00,0.00367
2003,01,06,22,00,00,-0.06383
2003,01,06,23,00,00,0.03783
2003,01,07,00,00,00,0.1575
2003,01,07,01,00,00,0.0225
2003,01,07,02,00,00,-0.011
2003,01,07,03,00,00,0.12367
2003,01,07,04,00,00,-0.04467
2003,01,07,05,00,00,0.09017
2003,01,07,06,00,00,0.1915
2003,01,07,07,00,00,-0.17917
2003,01,07,08,00,00,0.46119
2003,01,07,09,00,00,5.59517
2003,01,07,10,00,00,23.66483
2003,01,07,11,00,00,33.492
2003,01,07,12,00,00,45.14467
2003,01,07,13,00,00,34.94517
2003,01,07,14,00,00,16.50483
2003,01,07,15,00,00,3.19667
2003,01,07,16,00,00,-0.04417
2003,01,07,17,00,00,-0.27967
2003,01,07,18,00,00,-0.11133
2003,01,07,19,00,00,-0.34733
2003,01,07,20,00,00,-0.24667
2003,01,07,21,00,00,-0.01083
2003,01,07,22,00,00,-0.28033
2003,01,07,23,00,00,-0.1455
2003,01,08,00,00,00,-0.03517
2003,01,08,01,00,00,0.06633
2003,01,08,02,00,00,0.134
2003,01,08,03,00,00,0.10017
2003,01,08,04,00,00,-0.1705
2003,01,08,05,00,00,-0.20433
2003,01,08,06,00,00,-0.1705
2003,01,08,07,00,00,-0.1705
2003,01,08,08,00,00,0.20167
2003,01,08,09,00,00,3.91783
2003,01,08,10,00,00,25.9735
2003,01,08,11,00,00,60.62433
2003,01,08,12,00,00,59.77933
2003,01,08,13,00,00,67.34567
2003,01,08,14,00,00,40.56283
2003,01,08,15,00,00,5.91117
2003,01,08,16,00,00,0.2355
2003,01,08,17,00,00,-0.1705
2003,01,08,18,00,00,-0.272
2003,01,08,19,00,00,0.0325
2003,01,08,20,00,00,-0.13667
2003,01,08,21,00,00,-0.33967
2003,01,08,22,00,00,0.06633
2003,01,08,23,00,00,-0.3735
2003,01,09,00,00,00,0.0505
2003,01,09,01,00,00,-0.32117
2003,01,09,02,00,00,-0.05183
2003,01,09,03,00,00,0.421
2003,01,09,04,00,00,-0.254
2003,01,09,05,00,00,0.35383
2003,01,09,06,00,00,0.0505
2003,01,09,07,00,00,-0.1185
2003,01,09,08,00,00,0.28683
2003,01,09,09,00,00,9.63983
2003,01,09,10,00,00,62.37559
2003,01,09,11,00,00,144.567
2003,01,09,12,00,00,112.4815
2003,01,09,13,00,00,129.943
2003,01,09,14,00,00,48.20967
2003,01,09,15,00,00,9.36933
2003,01,09,16,00,00,-0.017
2003,01,09,17,00,00,-0.01683
2003,01,09,18,00,00,0.08483
2003,01,09,19,00,00,0.21983
2003,01,09,20,00,00,0.017
2003,01,09,21,00,00,0.0845
2003,01,09,22,00,00,0.01683
2003,01,09,23,00,00,0.01717
2003,01,10,00,00,00,-0.1915
2003,01,10,01,00,00,-0.293
2003,01,10,02,00,00,0.04533
2003,01,10,03,00,00,-0.259
2003,01,10,04,00,00,-0.05667
2003,01,10,05,00,00,0.01133
2003,01,10,06,00,00,0.14667
2003,01,10,07,00,00,0.01167
2003,01,10,08,00,00,0.20684
2003,01,10,09,00,00,10.716
2003,01,10,10,00,00,58.74317
2003,01,10,11,00,00,122.746
2003,01,10,12,00,00,147.06433
2003,01,10,13,00,00,112.647
2003,01,10,14,00,00,59.55417
2003,01,10,15,00,00,10.71583
2003,01,10,16,00,00,0.04517
2003,01,10,17,00,00,-0.09033
2003,01,10,18,00,00,0.011
2003,01,10,19,00,00,0.146
2003,01,10,20,00,00,-0.05633
2003,01,10,21,00,00,-0.0225
2003,01,10,22,00,00,-0.09033
2003,01,10,23,00,00,-0.19167
2003,01,11,00,00,00,-0.10317
2003,01,11,01,00,00,0.13283
2003,01,11,02,00,00,-0.036
2003,01,11,03,00,00,-0.00217
2003,01,11,04,00,00,0.03133
2003,01,11,05,00,00,0.16667
2003,01,11,06,00,00,0.13283
2003,01,11,07,00,00,-0.06933
2003,01,11,08,00,00,-0.00233
2003,01,11,09,00,00,3.61317
2003,01,11,10,00,00,12.092
2003,01,11,11,00,00,17.15817
2003,01,11,12,00,00,19.75767
2003,01,11,13,00,00,26.2755
2003,01,11,14,00,00,22.02033
2003,01,11,15,00,00,4.35617
2003,01,11,16,00,00,0.03317
2003,01,11,17,00,00,0.1005
2003,01,11,18,00,00,0.03317
2003,01,11,19,00,00,0.03233
2003,01,11,20,00,00,-0.339
2003,01,11,21,00,00,-0.20433
2003,01,11,22,00,00,-0.37267
2003,01,11,23,00,00,-0.1705
2003,01,12,00,00,00,-0.02517
2003,01,12,01,00,00,0.00833
2003,01,12,02,00,00,0.10933
2003,01,12,03,00,00,0.1095
2003,01,12,04,00,00,-0.02533
2003,01,12,05,00,00,0.2115
2003,01,12,06,00,00,0.31267
2003,01,12,07,00,00,-0.025
2003,01,12,08,00,00,-0.15933
2003,01,12,09,00,00,11.08733
2003,01,12,10,00,00,54.41933
2003,01,12,11,00,00,144.565
2003,01,12,12,00,00,101.67067
2003,01,12,13,00,00,99.91017
2003,01,12,14,00,00,60.53367
2003,01,12,15,00,00,12.8775
2003,01,12,16,00,00,0.00883
2003,01,12,17,00,00,0.143
2003,01,12,18,00,00,0.07583
2003,01,12,19,00,00,-0.02517
2003,01,12,20,00,00,-0.02517
2003,01,12,21,00,00,0.345
2003,01,12,22,00,00,0.27883
2003,01,12,23,00,00,0.34633
2003,01,13,00,00,00,-0.14483
2003,01,13,01,00,00,-0.01017
2003,01,13,02,00,00,-0.14533
2003,01,13,03,00,00,-0.11067
2003,01,13,04,00,00,0.16017
2003,01,13,05,00,00,0.02483
2003,01,13,06,00,00,0.194
2003,01,13,07,00,00,-0.24583
2003,01,13,08,00,00,-0.11083
2003,01,13,09,00,00,9.07467
2003,01,13,10,00,00,65.58067
2003,01,13,11,00,00,151.23317
2003,01,13,12,00,00,179.40317
2003,01,13,13,00,00,151.504
2003,01,13,14,00,00,74.86783
2003,01,13,15,00,00,14.81617
2003,01,13,16,00,00,0.53067
2003,01,13,17,00,00,-0.00933
2003,01,13,18,00,00,-0.1445
2003,01,13,19,00,00,-0.27983
2003,01,13,20,00,00,-0.34733
2003,01,13,21,00,00,-0.11067
2003,01,13,22,00,00,-0.246
2003,01,13,23,00,00,-0.00917
2003,01,14,00,00,00,0.10333
2003,01,14,01,00,00,-0.09967
2003,01,14,02,00,00,0.06917
2003,01,14,03,00,00,0.33983
2003,01,14,04,00,00,0.374
2003,01,14,05,00,00,0.37383
2003,01,14,06,00,00,0.171
2003,01,14,07,00,00,0.10333
2003,01,14,08,00,00,0.171
2003,01,14,09,00,00,3.91817
2003,01,14,10,00,00,17.193
2003,01,14,11,00,00,25.94117
2003,01,14,12,00,00,40.363
2003,01,14,13,00,00,26.7185
2003,01,14,14,00,00,20.5025
2003,01,14,15,00,00,4.526
2003,01,14,16,00,00,-0.20133
2003,01,14,17,00,00,-0.09983
2003,01,14,18,00,00,0.0355
2003,01,14,19,00,00,0.1705
2003,01,14,20,00,00,0.00183
2003,01,14,21,00,00,0.0695
2003,01,14,22,00,00,-0.16783
2003,01,14,23,00,00,0.0015
2003,01,15,00,00,00,-0.14817
2003,01,15,01,00,00,-0.24967
2003,01,15,02,00,00,-0.04667
2003,01,15,03,00,00,-0.14817
2003,01,15,04,00,00,-0.21583
2003,01,15,05,00,00,-0.04667
2003,01,15,06,00,00,0.021
2003,01,15,07,00,00,0.15633
2003,01,15,08,00,00,0.19017
2003,01,15,09,00,00,8.83783
2003,01,15,10,00,00,51.0915
2003,01,15,11,00,00,79.29567
2003,01,15,12,00,00,66.2235
2003,01,15,13,00,00,51.42833
2003,01,15,14,00,00,29.644
2003,01,15,15,00,00,3.907
2003,01,15,16,00,00,0.05483
2003,01,15,17,00,00,0.05483
2003,01,15,18,00,00,-0.31733
2003,01,15,19,00,00,-0.0805
2003,01,15,20,00,00,-0.0805
2003,01,15,21,00,00,0.46117
2003,01,15,22,00,00,0.52867
2003,01,15,23,00,00,0.08917
2003,01,16,00,00,00,-0.453
2003,01,16,01,00,00,-0.39508
2003,01,16,02,00,00,-0.28367
2003,01,16,03,00,00,-0.55283
2003,01,16,04,00,00,-0.14883
2003,01,16,05,00,00,-0.5865
2003,01,16,06,00,00,0.12183
2003,01,16,07,00,00,-0.047
2003,01,16,08,00,00,-0.35117
2003,01,16,09,00,00,2.11567
2003,01,16,10,00,00,14.51117
2003,01,16,11,00,00,22.14517
2003,01,16,12,00,00,31.70367
2003,01,16,13,00,00,15.72783
2003,01,16,14,00,00,20.15233
2003,01,16,15,00,00,8.46533
2003,01,16,16,00,00,0.56644
2003,01,16,17,00,00,-0.01333
2003,01,16,18,00,00,-0.28367
2003,01,16,19,00,00,-0.1145
2003,01,16,20,00,00,-0.385
2003,01,16,21,00,00,0.02
2003,01,16,22,00,00,-0.149
2003,01,16,23,00,00,-0.14983
2003,01,17,00,00,00,0.18633
2003,01,17,01,00,00,-0.08433
2003,01,17,02,00,00,0.38475
2003,01,17,03,00,00,0.254
2003,01,17,04,00,00,0.11867
2003,01,17,05,00,00,0.32167
2003,01,17,06,00,00,-0.2535
2003,01,17,07,00,00,-0.01667
2003,01,17,08,00,00,0.051
2003,01,17,09,00,00,9.00317
2003,01,17,10,00,00,38.589
2003,01,17,11,00,00,69.83333
2003,01,17,12,00,00,107.66167
2003,01,17,13,00,00,60.07233
2003,01,17,14,00,00,25.5185
2003,01,17,15,00,00,5.21983
2003,01,17,16,00,00,0.457
2003,01,17,17,00,00,0.18667
2003,01,17,18,00,00,-0.11817
2003,01,17,19,00,00,0.11883
2003,01,17,20,00,00,0.01717
2003,01,17,21,00,00,0.1525
2003,01,17,22,00,00,-0.18583
2003,01,17,23,00,00,0.254
2003,01,18,00,00,00,0.21483
2003,01,18,01,00,00,0.316
2003,01,18,02,00,00,0.14767
2003,01,18,03,00,00,0.38383
2003,01,18,04,00,00,-0.055
2003,01,18,05,00,00,0.013
2003,01,18,06,00,00,0.0805
2003,01,18,07,00,00,0.047
2003,01,18,08,00,00,0.35067
2003,01,18,09,00,00,4.06433
2003,01,18,10,00,00,14.434
2003,01,18,11,00,00,14.805
2003,01,18,12,00,00,26.93167
2003,01,18,13,00,00,25.7835
2003,01,18,14,00,00,10.6505
2003,01,18,15,00,00,5.01033
2003,01,18,16,00,00,0.18117
2003,01,18,17,00,00,-0.12267
2003,01,18,18,00,00,-0.1225
2003,01,18,19,00,00,0.01233
2003,01,18,20,00,00,-0.2575
2003,01,18,21,00,00,0.2485
2003,01,18,22,00,00,0.04567
2003,01,18,23,00,00,0.24967
2003,01,19,00,00,00,-0.12233
2003,01,19,01,00,00,-0.05483
2003,01,19,02,00,00,-0.12267
2003,01,19,03,00,00,-0.12233
2003,01,19,04,00,00,-0.224
2003,01,19,05,00,00,-0.22383
2003,01,19,06,00,00,-0.19067
2003,01,19,07,00,00,0.0115
2003,01,19,08,00,00,0.58517
2003,01,19,09,00,00,15.88833
2003,01,19,10,00,00,54.22217
2003,01,19,11,00,00,126.47183
2003,01,19,12,00,00,192.436
2003,01,19,13,00,00,136.67133
2003,01,19,14,00,00,56.82333
2003,01,19,15,00,00,17.17133
2003,01,19,16,00,00,0.61967
2003,01,19,17,00,00,-0.157
2003,01,19,18,00,00,0.01133
2003,01,19,19,00,00,0.01133
2003,01,19,20,00,00,0.07867
2003,01,19,21,00,00,0.01133
2003,01,19,22,00,00,-0.19067
2003,01,19,23,00,00,0.01133
2003,01,20,00,00,00,-0.129
2003,01,20,01,00,00,-0.0275
2003,01,20,02,00,00,-0.129
2003,01,20,03,00,00,0.04017
2003,01,20,04,00,00,-0.19667
2003,01,20,05,00,00,-0.36583
2003,01,20,06,00,00,-0.16283
2003,01,20,07,00,00,0.00633
2003,01,20,08,00,00,0.34467
2003,01,20,09,00,00,9.09417
2003,01,20,10,00,00,27.50083
2003,01,20,11,00,00,45.16467
