Year,Month,Day,Hour,Minute,Second,HYY_META.RHIRGA336
2013,01,01,00,00,00,101.225
2013,01,01,01,00,00,101.318
2013,01,01,02,00,00,100.564
2013,01,01,03,00,00,100.04
2013,01,01,04,00,00,99.691
2013,01,01,05,00,00,99.803
2013,01,01,06,00,00,100.757
2013,01,01,07,00,00,101.266
2013,01,01,08,00,00,101.507
2013,01,01,09,00,00,101.755
2013,01,01,10,00,00,102.099
2013,01,01,11,00,00,101.781
2013,01,01,12,00,00,101.687
2013,01,01,13,00,00,101.8
2013,01,01,14,00,00,101.964
2013,01,01,15,00,00,101.875
2013,01,01,16,00,00,101.693
2013,01,01,17,00,00,101.115
2013,01,01,18,00,00,100.83
2013,01,01,19,00,00,98.067
2013,01,01,20,00,00,97.915
2013,01,01,21,00,00,97.897
2013,01,01,22,00,00,97.945
2013,01,01,23,00,00,98.866
2013,01,02,00,00,00,102.59
2013,01,02,01,00,00,102.354
2013,01,02,02,00,00,103.585
2013,01,02,03,00,00,102.043
2013,01,02,04,00,00,101.686
2013,01,02,05,00,00,100.939
2013,01,02,06,00,00,100.729
2013,01,02,07,00,00,100.067
2013,01,02,08,00,00,98.849
2013,01,02,09,00,00,99.518
2013,01,02,10,00,00,99.407
2013,01,02,11,00,00,97.359
2013,01,02,12,00,00,94.114
2013,01,02,13,00,00,94.928
2013,01,02,14,00,00,98.614
2013,01,02,15,00,00,100.721
2013,01,02,16,00,00,101.479
2013,01,02,17,00,00,100.72
2013,01,02,18,00,00,101.253
2013,01,02,19,00,00,101.19
2013,01,02,20,00,00,101.208
2013,01,02,21,00,00,101.126
2013,01,02,22,00,00,102.695
2013,01,02,23,00,00,102.871
2013,01,03,00,00,00,104.359
2013,01,03,01,00,00,104.354
2013,01,03,02,00,00,103.611
2013,01,03,03,00,00,102.961
2013,01,03,04,00,00,102.306
2013,01,03,05,00,00,101.11
2013,01,03,06,00,00,101.328
2013,01,03,07,00,00,101.287
2013,01,03,08,00,00,100.997
2013,01,03,09,00,00,96.274
2013,01,03,10,00,00,96.512
2013,01,03,11,00,00,96.198
2013,01,03,12,00,00,89.326
2013,01,03,13,00,00,91.162
2013,01,03,14,00,00,92.311
2013,01,03,15,00,00,94.918
2013,01,03,16,00,00,96.897
2013,01,03,17,00,00,97.352
2013,01,03,18,00,00,100.57
2013,01,03,19,00,00,97.355
2013,01,03,20,00,00,101.107
2013,01,03,21,00,00,101.425
2013,01,03,22,00,00,101.645
