Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2013,01,01,00,00,00,0.26661
2013,01,01,01,00,00,0.24281
2013,01,01,02,00,00,-0.0355
2013,01,01,03,00,00,-0.10481
2013,01,01,04,00,00,-0.15395
2013,01,01,05,00,00,-0.19675
2013,01,01,06,00,00,-0.12573
2013,01,01,07,00,00,0.1043
2013,01,01,08,00,00,0.48983
2013,01,01,09,00,00,1.03935
2013,01,01,10,00,00,1.49888
2013,01,01,11,00,00,1.96408
2013,01,01,12,00,00,2.29994
2013,01,01,13,00,00,2.40146
2013,01,01,14,00,00,2.45682
2013,01,01,15,00,00,2.50135
2013,01,01,16,00,00,2.45354
2013,01,01,17,00,00,2.42257
2013,01,01,18,00,00,2.3411
2013,01,01,19,00,00,2.04712
2013,01,01,20,00,00,1.33765
2013,01,01,21,00,00,1.13785
2013,01,01,22,00,00,0.87587
2013,01,01,23,00,00,0.70507
2013,01,02,00,00,00,0.41926
2013,01,02,01,00,00,0.18579
2013,01,02,02,00,00,-0.05552
2013,01,02,03,00,00,-0.02349
2013,01,02,04,00,00,-0.15547
2013,01,02,05,00,00,-0.18811
2013,01,02,06,00,00,-0.17791
2013,01,02,07,00,00,-0.19488
2013,01,02,08,00,00,-0.23469
2013,01,02,09,00,00,-0.2545
2013,01,02,10,00,00,-0.21114
2013,01,02,11,00,00,-0.19211
2013,01,02,12,00,00,-0.29158
2013,01,02,13,00,00,-0.42206
2013,01,02,14,00,00,-0.68536
2013,01,02,15,00,00,-0.74884
2013,01,02,16,00,00,-0.91914
2013,01,02,17,00,00,-1.03995
2013,01,02,18,00,00,-1.06992
2013,01,02,19,00,00,-1.03023
2013,01,02,20,00,00,-1.07603
2013,01,02,21,00,00,-1.10617
2013,01,02,22,00,00,-1.18431
2013,01,02,23,00,00,-1.17379
2013,01,03,00,00,00,-1.18276
2013,01,03,01,00,00,-1.12557
2013,01,03,02,00,00,-1.11387
2013,01,03,03,00,00,-1.03134
2013,01,03,04,00,00,-1.11582
2013,01,03,05,00,00,-1.44079
2013,01,03,06,00,00,-1.5346
2013,01,03,07,00,00,-1.5829
2013,01,03,08,00,00,-1.63104
2013,01,03,09,00,00,-1.65635
2013,01,03,10,00,00,-1.84199
2013,01,03,11,00,00,-1.9533
2013,01,03,12,00,00,-2.3401
2013,01,03,13,00,00,-2.38541
2013,01,03,14,00,00,-2.36005
2013,01,03,15,00,00,-2.28819
2013,01,03,16,00,00,-2.30399
2013,01,03,17,00,00,-2.32047
2013,01,03,18,00,00,-2.37977
2013,01,03,19,00,00,-2.31725
2013,01,03,20,00,00,-2.49322
2013,01,03,21,00,00,-2.43403
2013,01,03,22,00,00,-2.386
2013,01,03,23,00,00,-2.56431
2013,01,04,00,00,00,-2.57544
2013,01,04,01,00,00,-2.50808
2013,01,04,02,00,00,-2.35706
2013,01,04,03,00,00,-2.32653
2013,01,04,04,00,00,-2.27167
2013,01,04,05,00,00,-2.17898
2013,01,04,06,00,00,-2.01645
2013,01,04,07,00,00,-1.78409
2013,01,04,08,00,00,-1.6789
2013,01,04,09,00,00,-1.55854
2013,01,04,10,00,00,-1.37367
2013,01,04,11,00,00,-1.04431
2013,01,04,12,00,00,-0.78662
2013,01,04,13,00,00,-0.59776
2013,01,04,14,00,00,-0.5149
