Year,Month,Day,Hour,Minute,Second,HYY_EDDY233.GPP
2013,01,01,00,00,00,0.616
2013,01,01,01,00,00,0.5215
2013,01,01,02,00,00,0.081
2013,01,01,03,00,00,0.158
2013,01,01,04,00,00,0.4365
2013,01,01,05,00,00,0.0655
2013,01,01,06,00,00,0.489
2013,01,01,07,00,00,0.2835
2013,01,01,08,00,00,0.4065
2013,01,01,09,00,00,0.4865
2013,01,01,10,00,00,0.483
2013,01,01,11,00,00,0.9195
2013,01,01,12,00,00,0.9315
2013,01,01,13,00,00,0.813
2013,01,01,14,00,00,0.712
2013,01,01,15,00,00,0.1505
2013,01,01,16,00,00,0.0655
2013,01,01,17,00,00,0.2525
2013,01,01,18,00,00,0.027
2013,01,01,19,00,00,0.195
2013,01,01,20,00,00,0.051
2013,01,01,21,00,00,-0.1185
2013,01,01,22,00,00,0.387
2013,01,01,23,00,00,-0.1095
2013,01,02,00,00,00,0.2755
2013,01,02,01,00,00,-0.2265
2013,01,02,02,00,00,0.02
2013,01,02,03,00,00,0.1395
2013,01,02,04,00,00,0.372
2013,01,02,05,00,00,0.192
2013,01,02,06,00,00,0.2505
2013,01,02,07,00,00,0.092
2013,01,02,08,00,00,0.6395
2013,01,02,09,00,00,0.159
2013,01,02,10,00,00,0.2035
2013,01,02,11,00,00,0.713
2013,01,02,12,00,00,0.3095
2013,01,02,13,00,00,0.089
2013,01,02,14,00,00,0.0505
2013,01,02,15,00,00,0.012
2013,01,02,16,00,00,-1.0165
2013,01,02,17,00,00,0
2013,01,02,18,00,00,0
2013,01,02,19,00,00,-0.165
2013,01,02,20,00,00,-0.7985
2013,01,02,21,00,00,-0.024
2013,01,02,22,00,00,-0.398
2013,01,02,23,00,00,-0.396
2013,01,03,00,00,00,-0.513
2013,01,03,01,00,00,0
2013,01,03,02,00,00,0
2013,01,03,03,00,00,0
2013,01,03,04,00,00,-0.2875
2013,01,03,05,00,00,0
2013,01,03,06,00,00,-0.1095
2013,01,03,07,00,00,-0.429
2013,01,03,08,00,00,0
2013,01,03,09,00,00,0.0695
2013,01,03,10,00,00,0.3695
2013,01,03,11,00,00,0.7425
2013,01,03,12,00,00,0.901
2013,01,03,13,00,00,0.5975
2013,01,03,14,00,00,0.3455
2013,01,03,15,00,00,0.041
2013,01,03,16,00,00,0
2013,01,03,17,00,00,0
2013,01,03,18,00,00,0
2013,01,03,19,00,00,0
2013,01,03,20,00,00,0
2013,01,03,21,00,00,0
2013,01,03,22,00,00,-0.0515
2013,01,03,23,00,00,0.061
2013,01,04,00,00,00,0.0535
2013,01,04,01,00,00,0
2013,01,04,02,00,00,0
2013,01,04,03,00,00,0
2013,01,04,04,00,00,0
2013,01,04,05,00,00,0
2013,01,04,06,00,00,0
2013,01,04,07,00,00,0
2013,01,04,08,00,00,0
2013,01,04,09,00,00,0.046
2013,01,04,10,00,00,0.221
2013,01,04,11,00,00,0.6065
2013,01,04,12,00,00,0.744
