Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2013,01,07,09,00,00,11.128
2013,01,07,10,00,00,34.59733
2013,01,07,11,00,00,65.24267
2013,01,07,12,00,00,100.08267
2013,01,07,13,00,00,54.01067
2013,01,07,14,00,00,25.30667
2013,01,07,15,00,00,4.68
2013,01,07,16,00,00,0.208
2013,01,07,17,00,00,0.06933
2013,01,07,18,00,00,-0.17333
2013,01,07,19,00,00,-0.06933
2013,01,07,20,00,00,0.03467
2013,01,07,21,00,00,-0.27733
2013,01,07,22,00,00,-0.312
2013,01,07,23,00,00,-0.17333
2013,01,08,00,00,00,-0.19333
2013,01,08,01,00,00,-0.05467
2013,01,08,02,00,00,-0.08933
2013,01,08,03,00,00,0.11867
2013,01,08,04,00,00,0.04933
2013,01,08,05,00,00,0.084
2013,01,08,06,00,00,-0.15867
2013,01,08,07,00,00,0.292
2013,01,08,08,00,00,0.084
2013,01,08,09,00,00,4.14
2013,01,08,10,00,00,20.052
2013,01,08,11,00,00,35.444
2013,01,08,12,00,00,46.19067
2013,01,08,13,00,00,27.15867
2013,01,08,14,00,00,14.644
2013,01,08,15,00,00,4.38267
2013,01,08,16,00,00,-0.02
2013,01,08,17,00,00,-0.15867
2013,01,08,18,00,00,-0.124
2013,01,08,19,00,00,-0.26267
2013,01,08,20,00,00,0.46533
2013,01,08,21,00,00,0.084
2013,01,08,22,00,00,0.292
2013,01,08,23,00,00,0.32667
2013,01,09,00,00,00,0.31733
2013,01,09,01,00,00,0.28267
2013,01,09,02,00,00,0.38667
2013,01,09,03,00,00,-0.064
2013,01,09,04,00,00,0.00533
2013,01,09,05,00,00,0.49067
2013,01,09,06,00,00,0.07467
2013,01,09,07,00,00,-0.168
2013,01,09,08,00,00,0.00533
2013,01,09,09,00,00,6.384
2013,01,09,10,00,00,38.24267
2013,01,09,11,00,00,66.04533
2013,01,09,12,00,00,109.344
2013,01,09,13,00,00,49.44
2013,01,09,14,00,00,40.53067
2013,01,09,15,00,00,7.38933
2013,01,09,16,00,00,0.144
2013,01,09,17,00,00,0.04
2013,01,09,18,00,00,0.00533
2013,01,09,19,00,00,0.10933
2013,01,09,20,00,00,-0.168
2013,01,09,21,00,00,-0.30667
2013,01,09,22,00,00,-0.13333
2013,01,09,23,00,00,-0.064
2013,01,10,00,00,00,-0.11933
2013,01,10,01,00,00,-0.258
2013,01,10,02,00,00,-0.32733
2013,01,10,03,00,00,-0.01533
2013,01,10,04,00,00,0.19267
2013,01,10,05,00,00,-0.22333
2013,01,10,06,00,00,0.06458
2013,01,10,07,00,00,-0.154
2013,01,10,08,00,00,-0.11933
2013,01,10,09,00,00,5.11533
2013,01,10,10,00,00,16.55533
2013,01,10,11,00,00,33.75
2013,01,10,12,00,00,34.79
2013,01,10,13,00,00,35.83
2013,01,10,14,00,00,16.93667
2013,01,10,15,00,00,3.07
2013,01,10,16,00,00,0.366
2013,01,10,17,00,00,-0.01533
2013,01,10,18,00,00,-0.11933
2013,01,10,19,00,00,-0.258
2013,01,10,20,00,00,-0.32733
2013,01,10,21,00,00,-0.11933
2013,01,10,22,00,00,-0.08467
2013,01,10,23,00,00,-0.362
2013,01,11,00,00,00,0.15
2013,01,11,01,00,00,0.11533
2013,01,11,02,00,00,0.18467
2013,01,11,03,00,00,0.11533
2013,01,11,04,00,00,-0.09267
2013,01,11,05,00,00,0.18467
2013,01,11,06,00,00,-0.12733
2013,01,11,07,00,00,0.15
2013,01,11,08,00,00,-0.09267
2013,01,11,09,00,00,5.00333
2013,01,11,10,00,00,19.286
2013,01,11,11,00,00,33.222
2013,01,11,12,00,00,46.70733
2013,01,11,13,00,00,41.09133
2013,01,11,14,00,00,19.598
2013,01,11,15,00,00,5.21133
2013,01,11,16,00,00,0.358
2013,01,11,17,00,00,-0.09267
2013,01,11,18,00,00,-0.09267
2013,01,11,19,00,00,-0.09267
2013,01,11,20,00,00,0.28867
2013,01,11,21,00,00,0.32333
2013,01,11,22,00,00,0.08067
2013,01,11,23,00,00,0.01133
2013,01,12,00,00,00,0.07667
2013,01,12,01,00,00,0.00733
2013,01,12,02,00,00,-0.062
2013,01,12,03,00,00,-0.09667
2013,01,12,04,00,00,0.00733
2013,01,12,05,00,00,0.042
2013,01,12,06,00,00,0.00733
2013,01,12,07,00,00,-0.166
2013,01,12,08,00,00,0.146
2013,01,12,09,00,00,10.58067
2013,01,12,10,00,00,50.066
2013,01,12,11,00,00,90.314
2013,01,12,12,00,00,108.41
2013,01,12,13,00,00,120.994
2013,01,12,14,00,00,72.322
2013,01,12,15,00,00,15.538
2013,01,12,16,00,00,0.31933
2013,01,12,17,00,00,-0.02733
2013,01,12,18,00,00,0.042
2013,01,12,19,00,00,0.31933
2013,01,12,20,00,00,0.042
2013,01,12,21,00,00,-0.13133
2013,01,12,22,00,00,-0.062
2013,01,12,23,00,00,-0.23533
2013,01,13,00,00,00,-0.47133
2013,01,13,01,00,00,-0.36733
2013,01,13,02,00,00,-0.33267
2013,01,13,03,00,00,-0.05533
2013,01,13,04,00,00,-0.22867
2013,01,13,05,00,00,-0.194
2013,01,13,06,00,00,-0.09
2013,01,13,07,00,00,-0.22867
2013,01,13,08,00,00,0.08333
2013,01,13,09,00,00,5.35267
2013,01,13,10,00,00,25.63267
2013,01,13,11,00,00,68.238
2013,01,13,12,00,00,69.76333
2013,01,13,13,00,00,53.12333
2013,01,13,14,00,00,28.85667
2013,01,13,15,00,00,7.814
2013,01,13,16,00,00,0.18733
2013,01,13,17,00,00,0.25667
2013,01,13,18,00,00,0.15267
2013,01,13,19,00,00,-0.02067
2013,01,13,20,00,00,-0.02067
2013,01,13,21,00,00,-0.15933
2013,01,13,22,00,00,0.222
2013,01,13,23,00,00,-0.02067
2013,01,14,00,00,00,-0.236
2013,01,14,01,00,00,-0.132
2013,01,14,02,00,00,-0.27067
2013,01,14,03,00,00,-0.09733
2013,01,14,04,00,00,-0.27067
2013,01,14,05,00,00,0.04133
2013,01,14,06,00,00,-0.09733
2013,01,14,07,00,00,0.11067
2013,01,14,08,00,00,-0.09733
2013,01,14,09,00,00,4.99867
2013,01,14,10,00,00,21.74267
2013,01,14,11,00,00,39.492
2013,01,14,12,00,00,50.27333
2013,01,14,13,00,00,41.988
2013,01,14,14,00,00,26.42267
2013,01,14,15,00,00,6.108
2013,01,14,16,00,00,0.04133
2013,01,14,17,00,00,0.18
2013,01,14,18,00,00,0.04133
2013,01,14,19,00,00,-0.20133
2013,01,14,20,00,00,-0.16667
2013,01,14,21,00,00,-0.27067
2013,01,14,22,00,00,-0.27067
2013,01,14,23,00,00,-0.37467
2013,01,15,00,00,00,-0.04933
2013,01,15,01,00,00,-0.04933
2013,01,15,02,00,00,-0.01467
2013,01,15,03,00,00,-0.01467
2013,01,15,04,00,00,0.02
2013,01,15,05,00,00,-0.04933
2013,01,15,06,00,00,0.05467
