Year,Month,Day,Hour,Minute,Second,HYY_META.CO2336
2013,01,01,00,00,00,400.913
2013,01,01,01,00,00,400.854
2013,01,01,02,00,00,401.638
2013,01,01,03,00,00,403.149
2013,01,01,04,00,00,403.658
2013,01,01,05,00,00,404.407
2013,01,01,06,00,00,404.97
2013,01,01,07,00,00,405.241
2013,01,01,08,00,00,405.29
2013,01,01,09,00,00,404.911
2013,01,01,10,00,00,404.59
2013,01,01,11,00,00,403.853
2013,01,01,12,00,00,403.546
2013,01,01,13,00,00,403.454
2013,01,01,14,00,00,403.324
2013,01,01,15,00,00,403.329
2013,01,01,16,00,00,403.343
2013,01,01,17,00,00,403.23
2013,01,01,18,00,00,403.199
2013,01,01,19,00,00,402.324
2013,01,01,20,00,00,400.509
2013,01,01,21,00,00,400.103
2013,01,01,22,00,00,399.851
2013,01,01,23,00,00,400.757
2013,01,02,00,00,00,400.786
2013,01,02,01,00,00,399.94
2013,01,02,02,00,00,399.945
2013,01,02,03,00,00,399.923
2013,01,02,04,00,00,399.86
2013,01,02,05,00,00,399.881
2013,01,02,06,00,00,400.183
2013,01,02,07,00,00,400.405
2013,01,02,08,00,00,399.952
2013,01,02,09,00,00,400.321
2013,01,02,10,00,00,400.545
2013,01,02,11,00,00,400.305
2013,01,02,12,00,00,399.763
2013,01,02,13,00,00,399.85
2013,01,02,14,00,00,400.087
2013,01,02,15,00,00,400.473
2013,01,02,16,00,00,400.661
2013,01,02,17,00,00,401.178
2013,01,02,18,00,00,401.414
2013,01,02,19,00,00,401.813
2013,01,02,20,00,00,401.941
2013,01,02,21,00,00,401.912
2013,01,02,22,00,00,402.223
2013,01,02,23,00,00,402.451
2013,01,03,00,00,00,402.989
2013,01,03,01,00,00,403.398
2013,01,03,02,00,00,404.285
2013,01,03,03,00,00,404.988
2013,01,03,04,00,00,405.861
2013,01,03,05,00,00,406.169
2013,01,03,06,00,00,406.449
2013,01,03,07,00,00,406.753
2013,01,03,08,00,00,405.85
2013,01,03,09,00,00,404.797
2013,01,03,10,00,00,404.124
2013,01,03,11,00,00,403.477
2013,01,03,12,00,00,401.481
2013,01,03,13,00,00,401.23
2013,01,03,14,00,00,401.258
2013,01,03,15,00,00,401.651
2013,01,03,16,00,00,402.425
2013,01,03,17,00,00,403.282
2013,01,03,18,00,00,404.964
2013,01,03,19,00,00,404.568
2013,01,03,20,00,00,404.03
2013,01,03,21,00,00,403.755
2013,01,03,22,00,00,403.416
2013,01,03,23,00,00,402.864
2013,01,04,00,00,00,402.762
2013,01,04,01,00,00,403.116
2013,01,04,02,00,00,403.209
2013,01,04,03,00,00,403.627
2013,01,04,04,00,00,403.977
2013,01,04,05,00,00,404.642
2013,01,04,06,00,00,405.479
2013,01,04,07,00,00,405.997
