Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,07,10,00,00,409.7108
2013,01,07,11,00,00,409.8946
2013,01,07,12,00,00,409.4325
2013,01,07,13,00,00,409.22457
2013,01,07,14,00,00,409.36011
2013,01,07,15,00,00,409.4401
2013,01,07,16,00,00,409.4149
2013,01,07,17,00,00,409.243
2013,01,07,18,00,00,409.3502
2013,01,07,19,00,00,409.2517
2013,01,07,20,00,00,408.8733
2013,01,07,21,00,00,408.4293
2013,01,07,22,00,00,408.0668
2013,01,07,23,00,00,407.7781
2013,01,08,00,00,00,407.2975
2013,01,08,01,00,00,406.926
2013,01,08,02,00,00,406.5259
2013,01,08,03,00,00,405.7587
2013,01,08,04,00,00,405.332
2013,01,08,05,00,00,405.26589
2013,01,08,06,00,00,405.6436
2013,01,08,07,00,00,405.7252
2013,01,08,08,00,00,405.6453
2013,01,08,09,00,00,405.7722
2013,01,08,10,00,00,405.7457
2013,01,08,11,00,00,405.4354
2013,01,08,12,00,00,404.9819
2013,01,08,13,00,00,404.3882
2013,01,08,14,00,00,404.2355
2013,01,08,15,00,00,404.2924
2013,01,08,16,00,00,404.1214
2013,01,08,17,00,00,403.9393
2013,01,08,18,00,00,404.0076
2013,01,08,19,00,00,404.21067
2013,01,08,20,00,00,404.5023
2013,01,08,21,00,00,404.9575
2013,01,08,22,00,00,405.5134
2013,01,08,23,00,00,406.2139
2013,01,09,00,00,00,406.80656
2013,01,09,01,00,00,406.8129
2013,01,09,02,00,00,406.7752
2013,01,09,03,00,00,406.4331
2013,01,09,04,00,00,406.4853
2013,01,09,05,00,00,406.4769
2013,01,09,06,00,00,406.5936
2013,01,09,07,00,00,406.5915
2013,01,09,08,00,00,406.6279
2013,01,09,09,00,00,406.0631
2013,01,09,10,00,00,404.50167
2013,01,09,11,00,00,403.0959
2013,01,09,12,00,00,401.9896
2013,01,09,13,00,00,401.225
2013,01,09,14,00,00,400.9927
2013,01,09,15,00,00,400.9585
2013,01,09,16,00,00,401.1682
2013,01,09,17,00,00,401.3473
2013,01,09,18,00,00,401.4595
2013,01,09,19,00,00,401.457
2013,01,09,20,00,00,401.5339
2013,01,09,21,00,00,401.7472
2013,01,09,22,00,00,401.4492
2013,01,09,23,00,00,401.18822
2013,01,10,00,00,00,401.2899
2013,01,10,01,00,00,401.4977
2013,01,10,02,00,00,402.0112
2013,01,10,03,00,00,402.4823
2013,01,10,04,00,00,402.7673
2013,01,10,05,00,00,403.0782
2013,01,10,06,00,00,402.9015
2013,01,10,07,00,00,404.8905
2013,01,10,08,00,00,406.5845
2013,01,10,09,00,00,407.7084
2013,01,10,10,00,00,408.6059
2013,01,10,11,00,00,409.3486
2013,01,10,12,00,00,409.3711
2013,01,10,13,00,00,408.88744
2013,01,10,14,00,00,408.59544
2013,01,10,15,00,00,408.44
2013,01,10,16,00,00,408.63695
2013,01,10,17,00,00,408.66345
2013,01,10,18,00,00,407.82945
2013,01,10,19,00,00,406.87624
2013,01,10,20,00,00,406.54285
2013,01,10,21,00,00,406.45956
2013,01,10,22,00,00,406.505
2013,01,10,23,00,00,405.8581
2013,01,11,00,00,00,404.78662
2013,01,11,01,00,00,404.78435
2013,01,11,02,00,00,404.60528
2013,01,11,03,00,00,404.89665
2013,01,11,04,00,00,404.89644
2013,01,11,05,00,00,404.15416
2013,01,11,06,00,00,403.55913
2013,01,11,07,00,00,402.6477
