Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2013,01,01,00,00,00,99.90283
2013,01,01,01,00,00,99.90083
2013,01,01,02,00,00,99.9025
2013,01,01,03,00,00,99.89917
2013,01,01,04,00,00,99.90067
2013,01,01,05,00,00,99.901
2013,01,01,06,00,00,99.89933
2013,01,01,07,00,00,99.90183
2013,01,01,08,00,00,99.89867
2013,01,01,09,00,00,99.8995
2013,01,01,10,00,00,99.89633
2013,01,01,11,00,00,99.89583
2013,01,01,12,00,00,99.89733
2013,01,01,13,00,00,99.895
2013,01,01,14,00,00,99.89817
2013,01,01,15,00,00,99.8925
2013,01,01,16,00,00,99.89148
2013,01,01,17,00,00,99.88983
2013,01,01,18,00,00,99.89367
2013,01,01,19,00,00,99.71
2013,01,01,20,00,00,98.91883
2013,01,01,21,00,00,98.59183
2013,01,01,22,00,00,98.41317
2013,01,01,23,00,00,99.13483
2013,01,02,00,00,00,99.139
2013,01,02,01,00,00,99.50117
2013,01,02,02,00,00,99.83183
2013,01,02,03,00,00,99.67967
2013,01,02,04,00,00,98.91
2013,01,02,05,00,00,98.538
2013,01,02,06,00,00,98.4075
2013,01,02,07,00,00,97.6845
2013,01,02,08,00,00,96.59233
2013,01,02,09,00,00,96.81983
2013,01,02,10,00,00,96.69533
2013,01,02,11,00,00,95.2295
2013,01,02,12,00,00,92.234
2013,01,02,13,00,00,92.39783
2013,01,02,14,00,00,95.3965
2013,01,02,15,00,00,97.42233
2013,01,02,16,00,00,98.078
2013,01,02,17,00,00,98.01867
2013,01,02,18,00,00,98.01783
2013,01,02,19,00,00,98.17
2013,01,02,20,00,00,97.99533
2013,01,02,21,00,00,97.663
2013,01,02,22,00,00,98.55817
2013,01,02,23,00,00,98.8465
2013,01,03,00,00,00,99.635
2013,01,03,01,00,00,99.90317
2013,01,03,02,00,00,99.89467
2013,01,03,03,00,00,99.4415
2013,01,03,04,00,00,97.9405
2013,01,03,05,00,00,97.15767
2013,01,03,06,00,00,97.303
2013,01,03,07,00,00,97.27367
2013,01,03,08,00,00,96.97583
2013,01,03,09,00,00,94.37
2013,01,03,10,00,00,94.11483
2013,01,03,11,00,00,94.0955
2013,01,03,12,00,00,88.6895
2013,01,03,13,00,00,88.899
2013,01,03,14,00,00,90.61883
2013,01,03,15,00,00,92.73133
2013,01,03,16,00,00,94.33267
2013,01,03,17,00,00,94.93617
2013,01,03,18,00,00,96.83033
2013,01,03,19,00,00,94.4335
2013,01,03,20,00,00,96.77283
2013,01,03,21,00,00,97.70767
2013,01,03,22,00,00,97.44317
2013,01,03,23,00,00,98.34867
2013,01,04,00,00,00,97.3455
2013,01,04,01,00,00,97.59517
2013,01,04,02,00,00,98.25167
2013,01,04,03,00,00,99.21483
2013,01,04,04,00,00,99.31633
2013,01,04,05,00,00,99.41133
2013,01,04,06,00,00,99.63333
2013,01,04,07,00,00,99.752
2013,01,04,08,00,00,99.8555
2013,01,04,09,00,00,99.90933
2013,01,04,10,00,00,99.90817
2013,01,04,11,00,00,99.90667
2013,01,04,12,00,00,99.90767
2013,01,04,13,00,00,99.902
