Year,Month,Day,Hour,Minute,Second,HYY_META.RHIRGA336
2003,01,07,18,00,00,97.229
2003,01,07,19,00,00,97.814
2003,01,07,20,00,00,99.989
2003,01,07,21,00,00,101.482
2003,01,07,22,00,00,104.397
2003,01,07,23,00,00,105.216
2003,01,08,00,00,00,100.737
2003,01,08,01,00,00,101.106
2003,01,08,02,00,00,101.598
2003,01,08,03,00,00,99.902
2003,01,08,04,00,00,98.209
2003,01,08,05,00,00,98.204
2003,01,08,06,00,00,98.01
2003,01,08,07,00,00,99.518
2003,01,08,08,00,00,100.615
2003,01,08,09,00,00,101.81667
2003,01,08,10,00,00,NaN
2003,01,08,11,00,00,NaN
2003,01,08,12,00,00,NaN
2003,01,08,13,00,00,NaN
2003,01,08,14,00,00,NaN
2003,01,08,15,00,00,NaN
2003,01,08,16,00,00,NaN
2003,01,08,17,00,00,NaN
2003,01,08,18,00,00,NaN
2003,01,08,19,00,00,NaN
2003,01,08,20,00,00,NaN
2003,01,08,21,00,00,NaN
2003,01,08,22,00,00,NaN
2003,01,08,23,00,00,NaN
2003,01,09,00,00,00,NaN
2003,01,09,01,00,00,NaN
2003,01,09,02,00,00,NaN
2003,01,09,03,00,00,NaN
2003,01,09,04,00,00,NaN
2003,01,09,05,00,00,NaN
2003,01,09,06,00,00,NaN
2003,01,09,07,00,00,NaN
2003,01,09,08,00,00,NaN
2003,01,09,09,00,00,98.97
2003,01,09,10,00,00,98.95
2003,01,09,11,00,00,99.054
2003,01,09,12,00,00,99.485
2003,01,09,13,00,00,99.473
2003,01,09,14,00,00,99.731
2003,01,09,15,00,00,99.856
2003,01,09,16,00,00,100.125
2003,01,09,17,00,00,100.51
2003,01,09,18,00,00,101.008
2003,01,09,19,00,00,102.11
2003,01,09,20,00,00,102.749
2003,01,09,21,00,00,102.557
2003,01,09,22,00,00,102.274
2003,01,09,23,00,00,101.742
2003,01,10,00,00,00,105.8
2003,01,10,01,00,00,109.186
2003,01,10,02,00,00,111.67
2003,01,10,03,00,00,114.007
2003,01,10,04,00,00,114.112
2003,01,10,05,00,00,114.428
2003,01,10,06,00,00,115.463
2003,01,10,07,00,00,116.369
2003,01,10,08,00,00,115.08333
2003,01,10,09,00,00,113.987
2003,01,10,10,00,00,110.565
2003,01,10,11,00,00,109.952
2003,01,10,12,00,00,108.82
2003,01,10,13,00,00,108.855
2003,01,10,14,00,00,106.18
2003,01,10,15,00,00,106.601
2003,01,10,16,00,00,104.908
2003,01,10,17,00,00,103.226
2003,01,10,18,00,00,101.431
2003,01,10,19,00,00,99.408
2003,01,10,20,00,00,98.065
2003,01,10,21,00,00,98.044
2003,01,10,22,00,00,97.132
2003,01,10,23,00,00,97.393
2003,01,11,00,00,00,103.669
2003,01,11,01,00,00,104.904
2003,01,11,02,00,00,104.958
2003,01,11,03,00,00,104.814
2003,01,11,04,00,00,105.884
2003,01,11,05,00,00,105.331
2003,01,11,06,00,00,103.985
2003,01,11,07,00,00,102.027
2003,01,11,08,00,00,99.273
2003,01,11,09,00,00,99.081
2003,01,11,10,00,00,99.635
2003,01,11,11,00,00,98.095
2003,01,11,12,00,00,97.495
2003,01,11,13,00,00,97.258
2003,01,11,14,00,00,97.002
2003,01,11,15,00,00,97.241
2003,01,11,16,00,00,98.13
2003,01,11,17,00,00,98.305
2003,01,11,18,00,00,98.365
2003,01,11,19,00,00,99.744
2003,01,11,20,00,00,100.368
2003,01,11,21,00,00,100.754
2003,01,11,22,00,00,100.592
2003,01,11,23,00,00,99.564
2003,01,12,00,00,00,99.364
2003,01,12,01,00,00,99.634
2003,01,12,02,00,00,99.771
2003,01,12,03,00,00,99.804
2003,01,12,04,00,00,99.248
2003,01,12,05,00,00,99.378
2003,01,12,06,00,00,99.643
2003,01,12,07,00,00,100.066
2003,01,12,08,00,00,99.635
2003,01,12,09,00,00,99.605
2003,01,12,10,00,00,100.03
2003,01,12,11,00,00,100.591
2003,01,12,12,00,00,100.202
2003,01,12,13,00,00,100.385
2003,01,12,14,00,00,101.508
2003,01,12,15,00,00,101.776
2003,01,12,16,00,00,100.763
2003,01,12,17,00,00,101.045
2003,01,12,18,00,00,100.555
2003,01,12,19,00,00,100.184
2003,01,12,20,00,00,100.27
2003,01,12,21,00,00,100.117
2003,01,12,22,00,00,99.863
2003,01,12,23,00,00,99.792
2003,01,13,00,00,00,101.443
2003,01,13,01,00,00,100.741
2003,01,13,02,00,00,101.598
2003,01,13,03,00,00,101.991
2003,01,13,04,00,00,103.265
2003,01,13,05,00,00,103.321
2003,01,13,06,00,00,103.042
2003,01,13,07,00,00,103.768
